subject_id,subject_id_ph1,z_no_trust,z_trust,z_no_answer,z_total_people,Invalid_Domain_or_Sender,Potent_Mal_Links,Spelling_or_Grammar,Appeal_to_Greed,Appeal_to_Urgency,Appeal_to_Authority,Other_Phishy_Findings,VeryTrustworthy,Trustworthy,Neither_Trust,Untrustworthy,VeryUntrustworthy,VeryAppealing,Appealing,NeitherAppealing,UnAppealing,VeryUnAppealing,malicious,SensitivityRate,VictimizationRate,FalsePositiveRate,SpecificityRate,url,maliciousness,Findings,Present Cue Types,Website Description,TrustWorthiness Rating,Visual Attractiveness Rating,response,BardSensitivityRate,BardVictimizationRate,BardFalsePositiveRate,BardSpecificityRate
52837250,52837250,13,3,0,16,11.0,0.0,1.0,0.0,0.0,0.0,3.0,3,4,2,2,5,6,6,4,0,0,True,0.8125,0.1875,,,https://panoptes-uploads.zooniverse.org/production/subject_location/71bbf5ee-25a0-43f2-898a-69d047958b50.jpeg,True,Nothing Phishy Here,[],"The image is a screenshot of the Wikipedia page for 'Art'. It provides a brief overview of the topic, including its definition, history, and different branches. ",Very Trustworthy,Neutral,"Findings: Nothing Phishy Here
Present Cue Types: []
Website Description: The image is a screenshot of the Wikipedia page for 'Art'. It provides a brief overview of the topic, including its definition, history, and different branches. 
TrustWorthiness Rating: Very Trustworthy
Visual Attractiveness Rating: Neutral 
",0.0,1.0,,
52837251,52837251,12,3,0,15,10.0,0.0,0.0,2.0,0.0,0.0,1.0,0,1,0,9,5,0,0,0,6,9,True,0.8,0.2,,,https://panoptes-uploads.zooniverse.org/production/subject_location/eab364eb-3443-433d-aa77-04d6088d5067.jpeg,True,Something's Phishy,"['Invalid Domain or Sender', 'Appeal to Action - Greed']","The website has a black background with a light gray box containing a list of internet-related links. The top of the website is green with white text that says ""Interested in medsllne.com? Our Domain Broker Service may be able to get it for you. Find out how"". The links are in white text and have orange arrows next to them. The bottom of the website has a copyright notice and a link to GoDaddy.",Very Untrustworthy,Visually Unattractive or Unappealing,"{
 ""Findings"": ""Something's Phishy"",
 ""Present Cue Types"": [
  ""Invalid Domain or Sender"",
  ""Appeal to Action - Greed""
 ],
 ""Website Description"": ""The website has a black background with a light gray box containing a list of internet-related links. The top of the website is green with white text that says \""Interested in medsllne.com? Our Domain Broker Service may be able to get it for you. Find out how\"". The links are in white text and have orange arrows next to them. The bottom of the website has a copyright notice and a link to GoDaddy."",
 ""TrustWorthiness Rating"": ""Very Untrustworthy"",
 ""Visual Attractiveness Rating"": ""Visually Unattractive or Unappealing""
}
",1.0,0.0,,
52837253,52837253,12,3,0,15,8.0,0.0,0.0,0.0,0.0,1.0,4.0,0,1,4,8,2,0,1,3,6,5,True,0.8,0.2,,,https://panoptes-uploads.zooniverse.org/production/subject_location/04b309f4-0057-40ac-87f3-b513cb6048ee.jpeg,True,Something's Phishy,"['Invalid Domain or Sender', 'Potentially Malicious Link']",The image is a screenshot of a website that appears to be impersonating an IBM Security Access Manager login page. The URL in the address bar is suspicious and does not point to a legitimate IBM domain.,Very Untrustworthy,Visually Unattractive or Unappealing,"{
  ""Findings"": ""Something's Phishy"",
  ""Present Cue Types"": [
    ""Invalid Domain or Sender"",
    ""Potentially Malicious Link""
  ],
  ""Website Description"": ""The image is a screenshot of a website that appears to be impersonating an IBM Security Access Manager login page. The URL in the address bar is suspicious and does not point to a legitimate IBM domain."",
  ""TrustWorthiness Rating"": ""Very Untrustworthy"",
  ""Visual Attractiveness Rating"": ""Visually Unattractive or Unappealing""
}
",1.0,0.0,,
52837254,52837254,1,13,1,14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,5,6,1,0,0,3,6,5,0,True,0.07142857142857142,0.9285714285714286,,,https://panoptes-uploads.zooniverse.org/production/subject_location/f9bee106-8713-4e68-9c38-400766b4783c.jpeg,True,Nothing Phishy Here,[],"The image shows a screenshot of a website called Soul Health Life. The website appears to be about health and wellness, and the screenshot shows a blog post about famous progress quotes. ",Neutral,Visually Unattractive or Unappealing,"Findings: Nothing Phishy Here
Present Cue Types: []
Website Description: The image shows a screenshot of a website called Soul Health Life. The website appears to be about health and wellness, and the screenshot shows a blog post about famous progress quotes. 
TrustWorthiness Rating: Neutral
Visual Attractiveness Rating: Visually Unattractive or Unappealing
",0.0,1.0,,
52837255,52837255,12,2,1,14,13.0,0.0,0.0,0.0,2.0,2.0,4.0,3,2,5,3,1,3,3,7,0,1,True,0.8571428571428571,0.14285714285714285,,,https://panoptes-uploads.zooniverse.org/production/subject_location/b75dc99c-5fa9-4f23-9eff-2d88150fc1e8.jpeg,True,Something's Phishy,"['Invalid Domain or Sender', 'Potentially Malicious Link']","This webpage appears to be a LinkedIn login page, but upon close inspection, the domain name in the address bar is suspicious. This raises a red flag and indicates that it might be a phishing attempt to steal user credentials.",Very Untrustworthy,Neutral,"{
 ""Findings"": ""Something's Phishy"",
 ""Present Cue Types"": [
  ""Invalid Domain or Sender"",
  ""Potentially Malicious Link""
 ],
 ""Website Description"": ""This webpage appears to be a LinkedIn login page, but upon close inspection, the domain name in the address bar is suspicious. This raises a red flag and indicates that it might be a phishing attempt to steal user credentials."",
 ""TrustWorthiness Rating"": ""Very Untrustworthy"",
 ""Visual Attractiveness Rating"": ""Neutral""
}",1.0,0.0,,
52837257,52837257,12,2,1,14,5.0,0.0,0.0,0.0,0.0,4.0,7.0,0,2,1,7,4,0,2,3,7,2,True,0.8571428571428571,0.14285714285714285,,,https://panoptes-uploads.zooniverse.org/production/subject_location/d1c2c046-8e21-4f8b-a486-ed710a15f936.jpeg,True,Something's Phishy,"['Invalid Domain or Sender', 'Appeal to Action - Authority', 'Other Phishy Findings']",The image shows a fake Adobe PDF online document viewer that asks for the user to confirm their identity by signing in with their email address and password. This is a common phishing tactic used to steal credentials.,Very Untrustworthy,Visually Unattractive or Unappealing,"Findings: Something's Phishy
Present Cue Types: ['Invalid Domain or Sender', 'Appeal to Action - Authority', 'Other Phishy Findings']
Website Description: The image shows a fake Adobe PDF online document viewer that asks for the user to confirm their identity by signing in with their email address and password. This is a common phishing tactic used to steal credentials.
TrustWorthiness Rating: 'Very Untrustworthy'
Visual Attractiveness Rating: 'Visually Unattractive or Unappealing'
",1.0,0.0,,
52837258,52837258,13,1,1,14,9.0,0.0,0.0,0.0,1.0,1.0,7.0,0,0,2,6,6,0,2,1,6,5,True,0.9285714285714286,0.07142857142857142,,,https://panoptes-uploads.zooniverse.org/production/subject_location/014b4f11-bf81-47e7-9806-a8a6a972156d.jpeg,True,Something's Phishy,"['Potentially Malicious Link', 'Other Phishy Findings']",This appears to be a phishing attempt disguised as an AT&T mailbox verification process. The use of Google Docs forms and the suspicious URL in the address bar are major red flags. Legitimate companies don't usually ask for sensitive information like passwords through such unsecure means.,Very Untrustworthy,Visually Unattractive or Unappealing,"{
 ""Findings"": ""Something's Phishy"",
 ""Present Cue Types"": [
  ""Potentially Malicious Link"",
  ""Other Phishy Findings""
 ],
 ""Website Description"": ""This appears to be a phishing attempt disguised as an AT&T mailbox verification process. The use of Google Docs forms and the suspicious URL in the address bar are major red flags. Legitimate companies don't usually ask for sensitive information like passwords through such unsecure means."",
 ""TrustWorthiness Rating"": ""Very Untrustworthy"",
 ""Visual Attractiveness Rating"": ""Visually Unattractive or Unappealing""
}",1.0,0.0,,
52837259,52837259,7,8,0,15,6.0,0.0,0.0,0.0,0.0,1.0,3.0,0,7,3,1,4,0,2,10,3,0,True,0.4666666666666667,0.5333333333333333,,,https://panoptes-uploads.zooniverse.org/production/subject_location/99f70439-5cf9-4b87-94b1-f01bf7c2d9c4.jpeg,True,Nothing Phishy Here,[],This is a screenshot of an Ebay login page. ,Very Trustworthy,Neutral,"{
 ""Findings"": ""Nothing Phishy Here,"",
 ""Present Cue Types"": [],
 ""Website Description"": ""This is a screenshot of an Ebay login page. "",
 ""TrustWorthiness Rating"": ""Very Trustworthy"",
 ""Visual Attractiveness Rating"": ""Neutral""
}
",0.0,1.0,,
52837261,52837261,5,9,1,14,4.0,0.0,1.0,0.0,0.0,4.0,2.0,1,5,5,0,3,1,0,6,6,1,True,0.35714285714285715,0.6428571428571429,,,https://panoptes-uploads.zooniverse.org/production/subject_location/7252342a-19d4-4a17-9e0f-78b802edb4da.jpeg,True,Something's Phishy,['Potentially Malicious Link'],The image shows a screenshot of a Google Drive error message. It states that the user cannot access the item because it is in violation of their terms of service.,Untrustworthy,Neutral,"{
 ""Findings"": ""Something's Phishy"",
 ""Present Cue Types"": [
  ""Potentially Malicious Link""
 ],
 ""Website Description"": ""The image shows a screenshot of a Google Drive error message. It states that the user cannot access the item because it is in violation of their terms of service."",
 ""TrustWorthiness Rating"": ""Untrustworthy"",
 ""Visual Attractiveness Rating"": ""Neutral""
}
",1.0,0.0,,
52837262,52837262,12,2,1,14,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0,1,1,7,5,0,1,1,6,6,True,0.8571428571428571,0.14285714285714285,,,https://panoptes-uploads.zooniverse.org/production/subject_location/425c7ab5-983b-43cd-8218-3d1c926f24e8.jpeg,True,Something's Phishy,['Invalid Domain or Sender'],"The screenshot is of a webpage claiming to be a webmail portal.  It has two entry fields one for the user to enter email address and one for password. It also has a ""Login"" button below the entry fields and some text mentioning about ""basic interface"". ",Very Untrustworthy,Very Visually Unattractive or Unappealing,"{
 ""Findings"": ""Something's Phishy"",
 ""Present Cue Types"": [
  ""Invalid Domain or Sender""
 ],
 ""Website Description"": ""The screenshot is of a webpage claiming to be a webmail portal.  It has two entry fields one for the user to enter email address and one for password. It also has a \""Login\"" button below the entry fields and some text mentioning about \""basic interface\"". "",
 ""TrustWorthiness Rating"": ""Very Untrustworthy"",
 ""Visual Attractiveness Rating"": ""Very Visually Unattractive or Unappealing""
}
",1.0,0.0,,
