task_id,malicious,theme,sector,subject_id_b,subject_id_ph1,subject_id_y,filename,c_Trust,c_NoTrust,z_Trust_b,z_NoTrust_b,z_Trust_ph1,z_NoTrust_ph1,c_total_classification,z_total_classification_b,z_total_classification_ph1,c_Very_Untrustworthy,c_Untrustworthy,c_Neutral,c_Trustworthy,c_Very_Trustworthy,c_mode_trustlevel,c_median_trustlevel,c_total_trust_level,c_Very_unpleasing,c_unpleasing,c_Neutral_pleasing,c_pleasing,c_Very_pleasing,c_mode_engagementlevel,c_median_engagementlevel,subject_id_x,z_Very_Untrustworthy_x,z_Untrustworthy_x,z_Neutral_x,z_Trustworthy_x,z_Very_Trustworthy_x,z_mode_trustlevel_x,z_median_trustlevel_x,subject_id_y,z_Very_Untrustworthy_y,z_Untrustworthy_y,z_Neutral_y,z_Trustworthy_y,z_Very_Trustworthy_y,z_mode_trustlevel_y,z_median_trustlevel_y,subject_id_x,z_Very_Unpleasing_x,z_Unpleasing_x,z_Neutral_pleasing_x,z_pleasing_x,z_Very_pleasing_x,z_mode_eng_level_x,z_median_eng_level_x,subject_id_y,z_Very_Unpleasing_y,z_Unpleasing_y,z_Neutral_pleasing_y,z_pleasing_y,z_Very_pleasing_y,z_mode_eng_level_y,z_median_eng_level_y,c_cue_type,subject_id_x,z_cue_type_x,subject_id_y,z_cue_type_y,c_victamization_rate,z_victamization_rate_b,z_victamization_rate_ph1,c_sensitivity,z_sensitivity_b,z_sensitivity_ph1,c_specificity,z_specificity_b,z_specificity_ph1,c_falsepositiverate,z_falsepositiverate_b,z_falsepositiverate_ph1,GPT_victamization,GPT_sensitivity,GPT_specificity,GPT_falsepositiverate,GPT_Finding,GPT_Cue_Type,GPT_Description_CSV,GPT_Trustworthiness_Rating,GPT_Visual_Attractiveness_Rating,GPT_Description_Website
40,FALSE,Tax Refund,Law/Legal Enforcement,43857092,49251675,49251675,UPRailRoad.png,61,36,4,12,6,12,97,16,18,5,27,13,45,7,4,4,97,10,29,45,12,1,3,3,43857092,3,7,2,3,0,2,2,49251675,6,1,5,3,1,1,3,43857092,3,7,4,0,0,2,2,49251675,1,9,6,0,0,2,2,,43857092,"Invalid Domain or Sender, Potentially Malicious Link, Potentially Malicious Link, Invalid Domain or Sender, Potentially Malicious Link, Potentially Malicious Link, Invalid Domain or Sender, Other Phishy Findings, Invalid Domain or Sender, Poor Spelling or Grammar, Potentially Malicious Link, Appeal to Action-Authority, Other Phishy Findings, Potentially Malicious Link, Invalid Domain or Sender, Other Phishy Findings, Invalid Domain or Sender, Potentially Malicious Link, Potentially Malicious Link, Potentially Malicious Link, Invalid Domain or Sender, Invalid Domain or Sender, Invalid Domain or Sender",49251675,"Poor Spelling or Grammar, Poor Spelling or Grammar, Appeal to Action-Authority, Other Phishy Findings, Poor Spelling or Grammar, Other Phishy Findings, Poor Spelling or Grammar, Appeal to Action-Urgency, Other Phishy Findings, Other Phishy Findings, Appeal to Action-Authority, Other Phishy Findings, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar",,,,,,,0.37,0.75,0.67,0.63,0.25,0.33,,,,1,Something’s Phishy,"Invalid Domain or Sender, Appeals to Action – Urgency, Potentially Malicious Links","Generic sender's email, urgency implied for W2 viewing, 'Click Here' hyperlink without visible URL",Very Untrustworthy,Very Visually Unattractive,
9,TRUE,Email Delivery Failure,Law/Legal Enforcement,43857086,49251676,49251676,TaxInformationEmail.png,28,66,5,12,5,11,94,17,16,22,42,4,23,3,2,2,94,12,49,24,6,3,2,2,43857086,1,8,3,3,1,2,2,49251676,3,5,5,1,2,[2. 3.],2.5,43857086,3,9,3,0,0,2,2,49251676,2,3,10,1,0,3,3,"Malicious Links,Invalid Domain or Sender,Spelling & Grammar",43857086,"Potentially Malicious Link, Potentially Malicious Link, Potentially Malicious Link, Potentially Malicious Link, Potentially Malicious Link, Other Phishy Findings, Potentially Malicious Link, Other Phishy Findings, Potentially Malicious Link, Other Phishy Findings, Potentially Malicious Link, Potentially Malicious Link, Potentially Malicious Link, Poor Spelling or Grammar",49251676,"Other Phishy Findings, Invalid Domain or Sender, Other Phishy Findings, Invalid Domain or Sender, Other Phishy Findings, Invalid Domain or Sender, Other Phishy Findings, Other Phishy Findings, Other Phishy Findings, Poor Spelling or Grammar, Other Phishy Findings, Invalid Domain or Sender, Invalid Domain or Sender",0.3,0.29,0.31,0.7,0.71,0.69,,,,,,,,1,,,Something’s Phishy,"Invalid Domain or Sender, Appeals to Action – Authority, Potentially Malicious Links, Other Phishy Findings","Generic sender email, authority impersonation, mention of a non-standard file, could prompt unsafe actions",Very Untrustworthy,Very Visually Unattractive,
54,TRUE,,Banking,43857079,49251677,49251677,Paypal.png,9,84,2,13,5,12,93,15,17,40,33,9,10,1,1,2,93,8,13,32,36,4,4,3,43857079,9,3,0,3,0,1,1,49251677,3,6,3,4,1,2,2,43857079,3,1,7,2,2,3,3,49251677,2,1,11,3,0,3,3,"Malicious Links,Invalid Domain or Sender",43857079,"Invalid Domain or Sender, Invalid Domain or Sender, Other Phishy Findings, Poor Spelling or Grammar, Potentially Malicious Link, Invalid Domain or Sender, Invalid Domain or Sender, Invalid Domain or Sender, Other Phishy Findings, Invalid Domain or Sender, Potentially Malicious Link, Potentially Malicious Link, Invalid Domain or Sender, Invalid Domain or Sender, Invalid Domain or Sender, Other Phishy Findings, Invalid Domain or Sender",49251677,"Invalid Domain or Sender, Invalid Domain or Sender, Invalid Domain or Sender, Other Phishy Findings, Invalid Domain or Sender, Other Phishy Findings, Invalid Domain or Sender, Invalid Domain or Sender, Invalid Domain or Sender, Invalid Domain or Sender, Invalid Domain or Sender, Invalid Domain or Sender",0.1,0.13,0.29,0.9,0.87,0.71,,,,,,,,1,,,Something’s Phishy,"Invalid Domain or Sender, Potentially Malicious Links","Incorrect domain 'paypals.com', use of HTTP instead of HTTPS, page mimics PayPal login",Very Untrustworthy,Somewhat Visually Attractive,
71,FALSE,,News,43857077,49251678,49251678,Newsweek.png,82,12,12,3,14,1,94,15,15,2,8,17,54,13,4,4,94,5,22,35,27,5,3,3,43857077,0,2,9,4,0,3,3,49251678,0,1,5,8,1,4,4,43857077,1,6,7,1,0,3,3,49251678,1,3,9,2,0,3,3,,43857077,Invalid Domain or Sender,49251678,Other Phishy Findings,,,,,,,0.13,0.2,0.07,0.87,0.8,0.93,,,1,,Nothing Phishy Here,,Legitimate Newsweek domain and secure HTTPS connection,Very Trustworthy,Moderately Visually Attractive,
49,TRUE,,Social Networking,43857104,49251679,49251679,whatsup.png,17,87,12,45,4,12,104,57,16,53,32,7,9,3,1,1,104,7,11,14,47,25,4,4,43857104,15,9,3,15,2,[1. 4.],2,49251679,4,6,3,3,0,2,2,43857104,0,3,14,20,6,4,4,49251679,0,3,6,6,1,[3. 4.],3,"Malicious Links,Invalid Domain or Sender,Appeal Used to Elicit Action - Greed,Spelling & Grammar",43857104,"Invalid Domain or Sender, Poor Spelling or Grammar, Poor Spelling or Grammar, Invalid Domain or Sender, Appeal to Action-Authority, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Invalid Domain or Sender, Poor Spelling or Grammar, Poor Spelling or Grammar, Potentially Malicious Link, Invalid Domain or Sender, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Invalid Domain or Sender, Poor Spelling or Grammar, Invalid Domain or Sender, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Invalid Domain or Sender, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Appeal to Action-Greed, Appeal to Action-Greed, Poor Spelling or Grammar, Poor Spelling or Grammar, Invalid Domain or Sender, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Invalid Domain or Sender, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Other Phishy Findings, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Invalid Domain or Sender, Other Phishy Findings, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Invalid Domain or Sender, Potentially Malicious Link, Potentially Malicious Link, Potentially Malicious Link, Potentially Malicious Link, Potentially Malicious Link, Poor Spelling or Grammar, Poor Spelling or Grammar, Potentially Malicious Link, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Appeal to Action-Greed, Invalid Domain or Sender, Invalid Domain or Sender, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Potentially Malicious Link, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Invalid Domain or Sender, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Other Phishy Findings, Poor Spelling or Grammar, Invalid Domain or Sender, Poor Spelling or Grammar, Other Phishy Findings, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Invalid Domain or Sender, Other Phishy Findings, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Potentially Malicious Link, Potentially Malicious Link, Potentially Malicious Link, Potentially Malicious Link, Potentially Malicious Link, Invalid Domain or Sender, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Invalid Domain or Sender, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar",49251679,"Invalid Domain or Sender, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Invalid Domain or Sender, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Invalid Domain or Sender, Poor Spelling or Grammar, Poor Spelling or Grammar, Invalid Domain or Sender, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Invalid Domain or Sender, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Invalid Domain or Sender, Invalid Domain or Sender, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Invalid Domain or Sender, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Invalid Domain or Sender, Appeal to Action-Greed, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Invalid Domain or Sender, Poor Spelling or Grammar, Poor Spelling or Grammar",0.16,0.21,0.25,0.84,0.79,0.75,,,,,,,,1,,,Something’s Phishy,"Invalid Domain or Sender, Poor Spelling or Grammar, Potentially Malicious Links","The URL in the browser bar shows ""www.whatsaup.com"". The official WhatsApp domain is ""whatsapp.com"". This misspelling is a common tactic used in phishing websites, At first glance, there doesn't appear to be any evident spelling or grammar mistakes in the text. However, the domain misspelling is a significant red flag.",Very Untrustworthy,Moderately Visually Attractive,
67,TRUE,Order Confirmation,eCommerce,43857103,49251680,49251680,VirusSpyware.png,31,63,12,37,7,8,94,49,15,23,37,11,21,2,2,2,94,7,14,25,41,7,4,4,43857103,7,17,5,7,3,2,2,49251680,2,4,3,5,0,4,3,43857103,5,13,16,3,1,3,3,49251680,1,6,7,0,0,3,2.5,"Appeal Used to Elicit Action - Urgency,Malicious Links,Invalid Domain or Sender",43857103,"Appeal to Action-Urgency, Invalid Domain or Sender, Appeal to Action-Authority, Appeal to Action-Urgency, Appeal to Action-Urgency, Invalid Domain or Sender, Invalid Domain or Sender, Invalid Domain or Sender, Invalid Domain or Sender, Invalid Domain or Sender, Other Phishy Findings, Other Phishy Findings, Other Phishy Findings, Invalid Domain or Sender, Potentially Malicious Link, Potentially Malicious Link, Invalid Domain or Sender, Invalid Domain or Sender, Potentially Malicious Link, Invalid Domain or Sender, Potentially Malicious Link, Other Phishy Findings, Invalid Domain or Sender, Appeal to Action-Authority, Invalid Domain or Sender, Invalid Domain or Sender, Other Phishy Findings, Poor Spelling or Grammar, Appeal to Action-Authority, Potentially Malicious Link, Other Phishy Findings, Potentially Malicious Link, Potentially Malicious Link, Invalid Domain or Sender, Other Phishy Findings, Other Phishy Findings",49251680,"Invalid Domain or Sender, Invalid Domain or Sender, Invalid Domain or Sender, Invalid Domain or Sender, Invalid Domain or Sender, Other Phishy Findings, Invalid Domain or Sender, Invalid Domain or Sender, Invalid Domain or Sender, Appeal to Action-Authority, Other Phishy Findings, Invalid Domain or Sender, Invalid Domain or Sender",0.33,0.24,0.47,0.67,0.76,0.53,,,,,,,,1,,,Something’s Phishy,Other Phishy Findings,Email from a suspicious domain with an unusual request to contact a security team regarding a virus/spyware alert,Somewhat Untrustworthy,Neutral,
60,FALSE,Advertisement,Banking,43857101,49251681,49251681,VenmoUber.png,67,28,30,20,12,3,95,50,15,6,14,24,42,9,4,4,95,3,4,23,47,18,4,4,43857101,0,7,9,17,5,4,4,49251681,2,2,5,4,2,3,3,43857101,1,6,13,16,0,4,3,49251681,2,2,7,4,0,3,3,,43857101,"Invalid Domain or Sender, Appeal to Action-Greed, Appeal to Action-Greed, Invalid Domain or Sender, Poor Spelling or Grammar, Poor Spelling or Grammar, Other Phishy Findings, Other Phishy Findings, Potentially Malicious Link, Potentially Malicious Link, Potentially Malicious Link",49251681,"Other Phishy Findings, Invalid Domain or Sender, Other Phishy Findings, Other Phishy Findings, Other Phishy Findings, Invalid Domain or Sender, Other Phishy Findings",,,,,,,0.29,0.4,0.2,0.71,0.6,0.8,,,1,,Nothing Phishy Here,,Legitimate looking promotional email from Venmo regarding a partnership with Uber,Very Trustworthy,Very Visually Attractive,
44,FALSE,,Banking,43857100,49251682,49251682,venmo.png,79,29,35,19,14,2,108,54,16,3,19,15,53,18,4,4,108,1,15,34,42,16,4,4,43857100,1,3,10,19,8,4,4,49251682,0,1,3,8,4,4,4,43857100,1,5,25,7,2,3,3,49251682,0,2,7,5,2,3,3,,43857100,"Other Phishy Findings, Other Phishy Findings, Other Phishy Findings, Other Phishy Findings, Poor Spelling or Grammar",49251682,"Other Phishy Findings, Other Phishy Findings",,,,,,,0.27,0.35,0.12,0.73,0.65,0.88,,,1,,Nothing Phishy Here,,Legitimate Venmo sign-in page with secure HTTPS connection.,Very Trustworthy,Very Visually Attractive,
43,FALSE,Account Access,Banking,43857098,49251683,49251683,Vanguard.png,71,23,16,35,3,12,94,51,15,6,11,11,47,19,4,4,94,2,10,28,44,10,4,4,43857098,5,15,7,11,4,2,3,49251683,1,7,1,5,0,2,2,43857098,1,11,17,12,1,3,3,49251683,0,6,6,2,0,[2. 3.],3,,43857098,"Appeal to Action-Urgency, Appeal to Action-Authority, Potentially Malicious Link, Appeal to Action-Urgency, Other Phishy Findings, Other Phishy Findings, Appeal to Action-Authority, Appeal to Action-Urgency, Appeal to Action-Urgency, Other Phishy Findings, Other Phishy Findings, Other Phishy Findings, Potentially Malicious Link, Potentially Malicious Link, Invalid Domain or Sender, Appeal to Action-Authority, Appeal to Action-Urgency, Potentially Malicious Link, Potentially Malicious Link, Potentially Malicious Link, Poor Spelling or Grammar, Appeal to Action-Authority, Poor Spelling or Grammar, Poor Spelling or Grammar, Invalid Domain or Sender, Appeal to Action-Authority, Poor Spelling or Grammar, Potentially Malicious Link, Potentially Malicious Link, Other Phishy Findings, Other Phishy Findings, Potentially Malicious Link, Potentially Malicious Link, Appeal to Action-Authority, Appeal to Action-Authority, Poor Spelling or Grammar, Other Phishy Findings, Other Phishy Findings, Potentially Malicious Link, Potentially Malicious Link, Other Phishy Findings, Appeal to Action-Urgency, Appeal to Action-Urgency, Appeal to Action-Urgency, Potentially Malicious Link, Potentially Malicious Link, Other Phishy Findings, Other Phishy Findings, Appeal to Action-Urgency, Appeal to Action-Urgency, Appeal to Action-Urgency, Potentially Malicious Link, Invalid Domain or Sender, Potentially Malicious Link, Appeal to Action-Authority, Potentially Malicious Link",49251683,"Other Phishy Findings, Poor Spelling or Grammar, Invalid Domain or Sender, Other Phishy Findings, Appeal to Action-Authority, Appeal to Action-Urgency, Appeal to Action-Urgency, Other Phishy Findings, Other Phishy Findings, Other Phishy Findings, Other Phishy Findings, Appeal to Action-Urgency, Other Phishy Findings, Other Phishy Findings, Other Phishy Findings, Poor Spelling or Grammar, Other Phishy Findings, Other Phishy Findings, Other Phishy Findings, Other Phishy Findings, Other Phishy Findings, Appeal to Action-Greed, Appeal to Action-Urgency, Other Phishy Findings",,,,,,,0.24,0.69,0.8,0.76,0.31,0.2,,,,1,Something’s Phishy,"Invalid Domain or Sender, Appeals to Action – Authority","Email from possibly spoofed Vanguard address, instructs to log in.",Somewhat Untrustworthy,Neutral,
30,TRUE,Package Delivery Failure,Postal Service,43857096,49251684,49251684,USPSGmail.png,11,81,3,50,0,15,92,53,15,26,47,10,8,1,2,2,92,10,35,33,14,0,2,3,43857096,8,22,7,2,1,2,2,49251684,7,5,3,0,0,1,2,43857096,8,11,16,4,0,3,3,49251684,3,8,4,0,0,2,2,"Appeal Used to Elicit Action - Urgency,Malicious Links,Invalid Domain or Sender",43857096,"Potentially Malicious Link, Poor Spelling or Grammar, Appeal to Action-Urgency, Invalid Domain or Sender, Invalid Domain or Sender, Appeal to Action-Urgency, Appeal to Action-Urgency, Potentially Malicious Link, Potentially Malicious Link, Invalid Domain or Sender, Appeal to Action-Urgency, Appeal to Action-Authority, Potentially Malicious Link, Invalid Domain or Sender, Other Phishy Findings, Potentially Malicious Link, Appeal to Action-Urgency, Other Phishy Findings, Other Phishy Findings, Other Phishy Findings, Invalid Domain or Sender, Other Phishy Findings, Poor Spelling or Grammar, Invalid Domain or Sender, Appeal to Action-Urgency, Potentially Malicious Link, Invalid Domain or Sender, Invalid Domain or Sender, Appeal to Action-Urgency, Appeal to Action-Urgency, Appeal to Action-Urgency, Potentially Malicious Link, Invalid Domain or Sender, Appeal to Action-Urgency, Potentially Malicious Link, Appeal to Action-Urgency, Potentially Malicious Link, Invalid Domain or Sender, Other Phishy Findings, Invalid Domain or Sender, Potentially Malicious Link, Appeal to Action-Urgency, Appeal to Action-Urgency, Appeal to Action-Authority, Appeal to Action-Authority, Invalid Domain or Sender, Invalid Domain or Sender, Potentially Malicious Link, Appeal to Action-Urgency, Appeal to Action-Urgency, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Potentially Malicious Link, Poor Spelling or Grammar, Potentially Malicious Link, Poor Spelling or Grammar, Other Phishy Findings, Invalid Domain or Sender, Invalid Domain or Sender, Appeal to Action-Urgency, Potentially Malicious Link, Potentially Malicious Link, Potentially Malicious Link, Other Phishy Findings, Appeal to Action-Urgency, Potentially Malicious Link, Invalid Domain or Sender, Invalid Domain or Sender, Appeal to Action-Urgency, Potentially Malicious Link, Appeal to Action-Authority, Appeal to Action-Urgency, Potentially Malicious Link, Invalid Domain or Sender, Appeal to Action-Urgency, Potentially Malicious Link, Invalid Domain or Sender, Other Phishy Findings, Potentially Malicious Link, Appeal to Action-Urgency, Appeal to Action-Authority, Potentially Malicious Link, Invalid Domain or Sender, Other Phishy Findings, Other Phishy Findings, Invalid Domain or Sender",49251684,"Appeal to Action-Urgency, Other Phishy Findings, Appeal to Action-Urgency, Invalid Domain or Sender, Appeal to Action-Urgency, Appeal to Action-Greed, Appeal to Action-Authority, Invalid Domain or Sender, Invalid Domain or Sender, Invalid Domain or Sender, Invalid Domain or Sender, Invalid Domain or Sender, Invalid Domain or Sender, Appeal to Action-Urgency, Appeal to Action-Urgency, Other Phishy Findings, Appeal to Action-Greed, Invalid Domain or Sender, Appeal to Action-Urgency, Other Phishy Findings, Appeal to Action-Authority, Invalid Domain or Sender, Invalid Domain or Sender, Appeal to Action-Urgency, Other Phishy Findings, Invalid Domain or Sender, Other Phishy Findings, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Poor Spelling or Grammar, Appeal to Action-Urgency, Other Phishy Findings, Appeal to Action-Urgency, Other Phishy Findings, Invalid Domain or Sender, Other Phishy Findings",0.12,0.06,0,0.88,0.94,1,,,,,,,,1,,,Something’s Phishy,"Invalid Domain or Sender, Potentially Malicious Links",Suspicious USPS email address and 'click here' link.,Very Untrustworthy,Neutral,
