subject_id,filename,malicious,gold_std,Invalid_Domain_Sender_Ratio,Potential_Malicious_Links_Ratio,Poor_Spelling_or_Grammar_Ratio,Appeal_to_Greed_Ratio,Appeal_to_Urgency_Ratio,Appeal_to_Authority_Ratio,Other_Phishy_Findings_Ratio,Total_Cues_for_Image
43857060,Box.png,True,True,35.29%,5.88%,5.88%,0.00%,47.06%,5.88%,0.00%,17
43857061,craigslist.png,True,True,33.33%,0.00%,50.00%,0.00%,0.00%,0.00%,16.67%,6
43857063,Discover.png,True,True,31.25%,18.75%,6.25%,0.00%,6.25%,6.25%,31.25%,16
43857064,Dropbox.png,True,True,25.00%,21.43%,21.43%,3.57%,25.00%,0.00%,3.57%,28
43857066,ebay.png,True,True,30.43%,13.04%,39.13%,0.00%,0.00%,0.00%,17.39%,23
43857067,EmmailFialure.png,False,True,7.69%,42.31%,19.23%,0.00%,0.00%,26.92%,3.85%,26
43857069,fedex.png,True,True,25.58%,18.60%,23.26%,2.33%,25.58%,0.00%,4.65%,43
43857071,Firmoo.png,False,True,7.69%,23.08%,7.69%,7.69%,38.46%,0.00%,15.38%,13
43857072,gmail.png,False,True,10.53%,52.63%,21.05%,0.00%,0.00%,0.00%,15.79%,19
43857074,IRS.png,True,True,31.43%,28.57%,2.86%,2.86%,5.71%,17.14%,11.43%,35
43857077,Newsweek.png,False,True,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1
43857079,Paypal.png,True,True,62.50%,12.50%,6.25%,0.00%,0.00%,0.00%,18.75%,16
43857080,Snapchat.png,False,True,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,50.00%,4
43857081,Sprint.png,True,True,31.43%,20.00%,2.86%,22.86%,11.43%,0.00%,11.43%,35
43857083,SprintBill.png,False,True,18.18%,27.27%,0.00%,0.00%,9.09%,0.00%,45.45%,11
43857084,subject-303.png,False,True,12.50%,50.00%,0.00%,0.00%,25.00%,0.00%,12.50%,8
43857086,TaxInformationEmail.png,True,True,0.00%,72.73%,9.09%,0.00%,0.00%,0.00%,18.18%,11
43857087,TheWallStreetJournal.png,True,True,47.06%,11.76%,41.18%,0.00%,0.00%,0.00%,0.00%,17
43857089,Tumblr.png,True,True,34.38%,18.75%,0.00%,0.00%,34.38%,6.25%,6.25%,32
43857090,Twitter.png,False,True,25.00%,0.00%,25.00%,0.00%,0.00%,0.00%,50.00%,4
43857092,UPRailRoad.png,False,True,29.41%,47.06%,5.88%,0.00%,0.00%,5.88%,11.76%,17
43857093,UPS.png,False,True,10.71%,21.43%,14.29%,7.14%,17.86%,7.14%,21.43%,28
43857095,USPS.png,True,True,28.74%,22.99%,14.94%,2.30%,22.99%,1.15%,6.90%,87
43857096,USPSGmail.png,True,True,22.67%,29.33%,5.33%,0.00%,28.00%,5.33%,9.33%,75
43857098,Vanguard.png,False,True,8.11%,27.03%,13.51%,0.00%,13.51%,18.92%,18.92%,37
43857100,venmo.png,False,True,0.00%,0.00%,25.00%,0.00%,0.00%,0.00%,75.00%,4
43857101,VenmoUber.png,False,True,28.57%,14.29%,14.29%,14.29%,0.00%,0.00%,28.57%,7
43857103,VirusSpyware.png,True,True,40.62%,18.75%,3.12%,0.00%,6.25%,9.38%,21.88%,32
43857104,whatsup.png,True,True,33.96%,7.55%,43.40%,3.77%,0.00%,1.89%,9.43%,53
43857918,BoA2(1).jpg,True,True,42.86%,0.00%,28.57%,0.00%,0.00%,0.00%,28.57%,7
43861756,GoogleDoc.jpg,True,True,23.53%,16.67%,24.51%,0.00%,23.53%,6.86%,4.90%,102
