subject_id,filename,malicious,gold_std,Total_People_who_put_malicious
43857918,BoA2(1).jpg,True,True,7
43861756,GoogleDoc.jpg,True,True,41
43857092,UPRailRoad.png,False,True,11
43857086,TaxInformationEmail.png,True,True,11
43857079,Paypal.png,True,True,13
43857077,Newsweek.png,False,True,3
43857104,whatsup.png,True,True,32
43857103,VirusSpyware.png,True,True,27
43857101,VenmoUber.png,False,True,8
43857100,venmo.png,False,True,6
43857098,Vanguard.png,False,True,26
43857096,USPSGmail.png,True,True,37
43857095,USPS.png,True,True,33
43857093,UPS.png,False,True,17
43857090,Twitter.png,False,True,4
43857089,Tumblr.png,True,True,13
43857087,TheWallStreetJournal.png,True,True,13
43857084,subject-303.png,False,True,6
43857083,SprintBill.png,False,True,8
43857081,Sprint.png,True,True,17
43857080,Snapchat.png,False,True,4
43857076,Messenger.png,False,True,1
43857074,IRS.png,True,True,15
43857072,gmail.png,False,True,12
43857071,Firmoo.png,False,True,7
43857069,fedex.png,True,True,15
43857067,EmmailFialure.png,False,True,13
43857066,ebay.png,True,True,12
43857064,Dropbox.png,True,True,13
43857063,Discover.png,True,True,9
43857061,craigslist.png,True,True,5
43857060,Box.png,True,True,15
