n,Invalid_Domain_or_Sender,Potent_Mal_Links,Spelling_or_Grammar,Appeal_to_Greed,Appeal_to_Urgency,Appeal_to_Authority,Other_Phishy_Findings
1,0.9672897196261683,0.026869158878504672,0.655373831775701,0.3107476635514019,0.3317757009345794,0.5058411214953271,0.9147196261682243
2,0.9252336448598131,0.018691588785046728,0.45560747663551404,0.15654205607476634,0.16705607476635514,0.24065420560747663,0.7570093457943925
3,0.8656542056074766,0.015186915887850467,0.3142523364485981,0.09813084112149532,0.11098130841121495,0.1308411214953271,0.5852803738317757
4,0.8259345794392523,0.012850467289719626,0.22780373831775702,0.06542056074766354,0.07827102803738317,0.06425233644859812,0.4439252336448598
5,0.7757009345794392,0.011682242990654205,0.16355140186915887,0.04439252336448598,0.0630841121495327,0.02336448598130841,0.316588785046729
6,0.7137850467289719,0.011682242990654205,0.1133177570093458,0.037383177570093455,0.052570093457943924,0.008177570093457943,0.2102803738317757
7,0.6588785046728972,0.008177570093457943,0.0852803738317757,0.026869158878504672,0.038551401869158876,0.004672897196261682,0.1366822429906542
8,0.5852803738317757,0.007009345794392523,0.054906542056074766,0.018691588785046728,0.03387850467289719,0.0011682242990654205,0.07827102803738317
9,0.4883177570093458,0.004672897196261682,0.0397196261682243,0.011682242990654205,0.028037383177570093,0.0011682242990654205,0.04439252336448598
10,0.38434579439252337,0.004672897196261682,0.026869158878504672,0.008177570093457943,0.02102803738317757,0.0,0.02453271028037383
11,0.286214953271028,0.0035046728971962616,0.016355140186915886,0.004672897196261682,0.018691588785046728,0.0,0.014018691588785047
12,0.19042056074766356,0.0035046728971962616,0.011682242990654205,0.0035046728971962616,0.009345794392523364,0.0,0.002336448598130841
13,0.09813084112149532,0.0035046728971962616,0.010514018691588784,0.0011682242990654205,0.008177570093457943,0.0,0.0011682242990654205
14,0.03271028037383177,0.0035046728971962616,0.0035046728971962616,0.0,0.005841121495327103,0.0,0.0
15,0.012850467289719626,0.0035046728971962616,0.0035046728971962616,0.0,0.0035046728971962616,0.0,0.0
16,0.005841121495327103,0.0035046728971962616,0.002336448598130841,0.0,0.0035046728971962616,0.0,0.0
17,0.004672897196261682,0.0035046728971962616,0.002336448598130841,0.0,0.0035046728971962616,0.0,0.0
18,0.0035046728971962616,0.002336448598130841,0.002336448598130841,0.0,0.0035046728971962616,0.0,0.0
19,0.002336448598130841,0.002336448598130841,0.002336448598130841,0.0,0.0035046728971962616,0.0,0.0
20,0.002336448598130841,0.002336448598130841,0.002336448598130841,0.0,0.0035046728971962616,0.0,0.0
21,0.002336448598130841,0.0011682242990654205,0.002336448598130841,0.0,0.002336448598130841,0.0,0.0
22,0.002336448598130841,0.0011682242990654205,0.002336448598130841,0.0,0.0011682242990654205,0.0,0.0
23,0.002336448598130841,0.0,0.002336448598130841,0.0,0.0011682242990654205,0.0,0.0
24,0.002336448598130841,0.0,0.0011682242990654205,0.0,0.0011682242990654205,0.0,0.0
25,0.0011682242990654205,0.0,0.0011682242990654205,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
